"Mas","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alphat","nuTilda","nut","p","pFluc","pMean","rho"
1.3117,1.1642,-0.023649,0,239.18,0,0,0,0,0,0,35990,-21745,57735,0.52299
1.2869,1.1642,-0.023635,0,241.64,0,0,0,0,0,0,37225,-21416,58641,0.53543
1.2522,1.1642,-0.023621,0,245.76,0,0,0,0,0,0,39001,-20819,59820,0.55148
0.46386,1.1651,-0.02412,0,280.99,0,0,0,0,0,0,87433,-90.671,87523,1.0816
0.45169,1.1651,-0.024076,0,281.74,0,0,0,0,0,0,88090,21.956,88068,1.0868
0.43569,1.1652,-0.024027,0,282.61,0,0,0,1.7827e-07,0,1.3801e-07,88936,209.86,88726,1.0938
0.42002,1.1652,-0.023974,0,283.17,0,0,0,1.2982e-06,0,9.9932e-07,89745,383.48,89361,1.1016
0.40792,1.1653,-0.023915,0,283.72,0,0,0,2.9726e-06,0,2.2817e-06,90355,483.86,89871,1.1069
0.39959,1.1653,-0.02385,0,284.33,0,0,0,5.9037e-06,0,4.5209e-06,90768,494.28,90274,1.1096
0.3936,1.1654,-0.023779,0,284.76,0,0,0,1.162e-05,0,8.8839e-06,91062,450.36,90611,1.1115
0.38922,1.1655,-0.023701,0,284.94,0,0,0,1.8614e-05,0,1.4208e-05,91274,370.88,90903,1.1134
0.38572,1.1655,-0.023615,0,285.03,0,0,0,2.6481e-05,0,2.0183e-05,91442,286.88,91155,1.1151
0.38468,1.1656,-0.02352,0,285.12,0,0,0,3.7171e-05,0,2.833e-05,91492,118.38,91374,1.1154
0.38738,1.1657,-0.023416,0,285.17,0,0,0,4.9732e-05,0,3.7966e-05,91362,-204.62,91567,1.1136
0.37966,1.1658,-0.023302,0,285.6,0,0,0,6.2445e-05,0,4.7527e-05,91731,-11.947,91743,1.1164
0.3639,1.1659,-0.023176,0,286.31,0,0,0,7.4115e-05,0,5.6113e-05,92466,565.7,91901,1.1226
0.35649,1.166,-0.023037,0,286.55,0,0,0,8.6105e-05,0,6.501e-05,92803,760.28,92043,1.1257
0.3541,1.1661,-0.022892,0,286.83,0,0,0,9.5956e-05,0,7.2443e-05,92911,725.36,92186,1.1259
0.3506,1.1663,-0.022747,0,287.46,0,0,0,9.9044e-05,0,7.481e-05,93068,725.82,92342,1.1253
0.35032,1.1664,-0.022602,0,287.49,0,0,0,9.6881e-05,0,7.3175e-05,93080,566.13,92514,1.1254
0.35552,1.1665,-0.022457,0,286.88,0,0,0,9.1786e-05,0,6.9353e-05,92848,84.295,92763,1.1249
0.36074,1.1666,-0.022314,0,286.23,0,0,0,8.6372e-05,0,6.5281e-05,92611,-360.32,92971,1.1246
0.3559,1.1668,-0.022172,0,286.13,0,0,0,8.1621e-05,0,6.1526e-05,92830,-205.1,93035,1.1277
0.35409,1.1669,-0.022029,0,286.04,0,0,0,7.7123e-05,0,5.8059e-05,92912,-165.29,93077,1.129
0.36978,1.167,-0.021886,0,285.25,0,0,0,7.3222e-05,0,5.5398e-05,92195,-949.53,93144,1.1234
0.37633,1.1671,-0.021744,0,284.81,0,0,0,7.0216e-05,0,5.3224e-05,91888,-1351.1,93240,1.1214
0.3626,1.1673,-0.021601,0,285.32,0,0,0,6.7619e-05,0,5.0996e-05,92526,-825.38,93351,1.1272
0.34763,1.1674,-0.021458,0,285.94,0,0,0,6.5053e-05,0,4.8809e-05,93200,-269.35,93469,1.1329
0.34676,1.1675,-0.021316,0,286.01,0,0,0,6.2674e-05,0,4.7013e-05,93238,-367.36,93606,1.1331
0.35055,1.1676,-0.021173,0,285.87,0,0,0,6.0659e-05,0,4.5563e-05,93070,-689.01,93759,1.1316
0.33889,1.1678,-0.02103,0,286.36,0,0,0,5.8402e-05,0,4.3707e-05,93583,-324.26,93908,1.1359
0.32391,1.1679,-0.020888,0,287.01,0,0,0,5.4903e-05,0,4.0899e-05,94222,160.51,94061,1.1411
0.32357,1.168,-0.020745,0,287.06,0,0,0,5.0674e-05,0,3.7747e-05,94236,-17.794,94254,1.1411
0.32982,1.1682,-0.020604,0,286.82,0,0,0,4.5169e-05,0,3.3711e-05,93973,-460.12,94433,1.1388
0.32945,1.1683,-0.020464,0,286.85,0,0,0,3.7979e-05,0,2.8349e-05,93988,-552.99,94541,1.1389
0.32924,1.1684,-0.020325,0,286.91,0,0,0,2.8376e-05,0,2.1175e-05,93997,-625.08,94622,1.1387
0.34356,1.1685,-0.020185,0,286.35,0,0,0,1.6248e-05,0,1.2169e-05,93379,-1331.3,94711,1.1335
0.34321,1.1687,-0.020045,0,286.21,0,0,0,4.9962e-06,0,3.7592e-06,93395,-1408.3,94803,1.1342
0.31316,1.1688,-0.019906,0,287.22,0,0,0,0,0,0,94665,-233.48,94899,1.1456
0.28855,1.1689,-0.019766,0,288.03,0,0,0,0,0,0,95634,614.3,95020,1.1541
0.28516,1.1691,-0.019626,0,288.04,0,0,0,0,0,0,95762,595.1,95167,1.1556
0.27367,1.1692,-0.019487,0,288.28,0,0,0,0,0,0,96187,873.92,95313,1.1598
0.25455,1.1693,-0.019347,0,288.75,0,0,0,0,0,0,96860,1416,95444,1.1659
1.1964,1.1642,-0.023572,0,252.84,0,0,0,0,0,0,41983,-19757,61740,0.57688
1.1053,1.1643,-0.023518,0,262.7,0,0,0,0,0,0,47147,-17380,64527,0.62317
0.96083,1.1643,-0.023458,0,274.98,0,0,0,0,0,0,55997,-12079,68076,0.70654
0.83254,1.1643,-0.023393,0,284.92,0,0,0,0,0,0,64326,-7256.1,71582,0.78446
0.79691,1.1644,-0.023322,0,288.59,0,0,0,0,0,0,66675,-6706.2,73382,0.80308
0.8063,1.1644,-0.023244,0,289.98,0,0,0,0,0,0,66055,-7619.9,73675,0.79178
0.81029,1.1645,-0.023157,0,290.77,0,0,0,8.3547e-06,0,9.0361e-06,65792,-7951.3,73743,0.78647
0.81218,1.1645,-0.023062,0,290.78,0,0,0,2.6168e-05,0,2.8348e-05,65667,-8070.9,73738,0.78497
0.81319,1.1646,-0.022958,0,290.5,0,0,0,4.4393e-05,0,4.8062e-05,65601,-8117.2,73719,0.78494
0.81451,1.1647,-0.022843,0,289.37,0,0,0,5.7735e-05,0,6.2354e-05,65514,-8222.7,73737,0.78694
0.8163,1.1648,-0.022717,0,287.68,0,0,0,6.5206e-05,0,7.0137e-05,65396,-8374.1,73770,0.79016
0.8165,1.1648,-0.022578,0,286.27,0,0,0,6.9903e-05,0,7.4842e-05,65383,-8436.9,73820,0.79387
0.81611,1.1649,-0.022425,0,285.47,0,0,0,7.2967e-05,0,7.7875e-05,65409,-8494.9,73904,0.79642
0.81566,1.165,-0.022257,0,284.77,0,0,0,7.4837e-05,0,7.964e-05,65438,-8543.9,73982,0.79873
